{'loss': 6.3724, 'grad_norm': 54.43408203125, 'learning_rate': 0.0001, 'epoch': 0.0}
{'loss': 6.3055, 'grad_norm': 54.14735794067383, 'learning_rate': 0.0002, 'epoch': 0.0}
{'loss': 3.739, 'grad_norm': 19.2130184173584, 'learning_rate': 0.00019992902767920512, 'epoch': 0.0}
{'loss': 2.6998, 'grad_norm': 12.525617599487305, 'learning_rate': 0.00019985805535841024, 'epoch': 0.01}
{'loss': 2.136, 'grad_norm': 10.059170722961426, 'learning_rate': 0.00019978708303761532, 'epoch': 0.01}
{'loss': 1.8854, 'grad_norm': 6.011496067047119, 'learning_rate': 0.00019971611071682046, 'epoch': 0.01}
{'loss': 1.8689, 'grad_norm': 2.9094812870025635, 'learning_rate': 0.00019964513839602557, 'epoch': 0.01}
{'loss': 1.762, 'grad_norm': 1.9098069667816162, 'learning_rate': 0.00019957416607523069, 'epoch': 0.01}
{'loss': 1.6628, 'grad_norm': 1.3670941591262817, 'learning_rate': 0.00019950319375443577, 'epoch': 0.01}
{'loss': 1.6198, 'grad_norm': 1.1179559230804443, 'learning_rate': 0.00019943222143364088, 'epoch': 0.01}
{'loss': 1.5714, 'grad_norm': 0.896386444568634, 'learning_rate': 0.000199361249112846, 'epoch': 0.02}
{'loss': 1.5582, 'grad_norm': 0.9485528469085693, 'learning_rate': 0.0001992902767920511, 'epoch': 0.02}
{'loss': 1.5308, 'grad_norm': 0.9695132970809937, 'learning_rate': 0.00019921930447125622, 'epoch': 0.02}
{'loss': 1.5607, 'grad_norm': 0.7802467346191406, 'learning_rate': 0.00019914833215046134, 'epoch': 0.02}
{'loss': 1.5013, 'grad_norm': 0.7041746377944946, 'learning_rate': 0.00019907735982966645, 'epoch': 0.02}
{'loss': 1.4903, 'grad_norm': 0.6526293158531189, 'learning_rate': 0.00019900638750887156, 'epoch': 0.02}
{'loss': 1.495, 'grad_norm': 0.7452432513237, 'learning_rate': 0.00019893541518807665, 'epoch': 0.02}
{'loss': 1.3996, 'grad_norm': 0.642892062664032, 'learning_rate': 0.00019886444286728176, 'epoch': 0.03}
{'loss': 1.4793, 'grad_norm': 0.608568012714386, 'learning_rate': 0.00019879347054648687, 'epoch': 0.03}
{'loss': 1.4569, 'grad_norm': 0.6717165112495422, 'learning_rate': 0.000198722498225692, 'epoch': 0.03}
{'loss': 1.4318, 'grad_norm': 0.6507506370544434, 'learning_rate': 0.0001986515259048971, 'epoch': 0.03}
{'loss': 1.4275, 'grad_norm': 0.6129789352416992, 'learning_rate': 0.0001985805535841022, 'epoch': 0.03}
{'loss': 1.3986, 'grad_norm': 0.606242835521698, 'learning_rate': 0.00019850958126330732, 'epoch': 0.03}
{'loss': 1.4376, 'grad_norm': 0.656890869140625, 'learning_rate': 0.00019843860894251244, 'epoch': 0.03}
{'loss': 1.4592, 'grad_norm': 0.6069300174713135, 'learning_rate': 0.00019836763662171752, 'epoch': 0.04}
{'loss': 1.4375, 'grad_norm': 0.6284168362617493, 'learning_rate': 0.00019829666430092263, 'epoch': 0.04}
{'loss': 1.4902, 'grad_norm': 0.6825727820396423, 'learning_rate': 0.00019822569198012777, 'epoch': 0.04}
{'loss': 1.3259, 'grad_norm': 0.5566306114196777, 'learning_rate': 0.00019815471965933289, 'epoch': 0.04}
{'loss': 1.4229, 'grad_norm': 0.5704931020736694, 'learning_rate': 0.00019808374733853797, 'epoch': 0.04}
{'loss': 1.3713, 'grad_norm': 0.6081483364105225, 'learning_rate': 0.00019801277501774308, 'epoch': 0.04}
{'loss': 1.3438, 'grad_norm': 0.6242185235023499, 'learning_rate': 0.0001979418026969482, 'epoch': 0.04}
{'loss': 1.4987, 'grad_norm': 0.5827323198318481, 'learning_rate': 0.0001978708303761533, 'epoch': 0.05}
{'loss': 1.3116, 'grad_norm': 0.5230266451835632, 'learning_rate': 0.00019779985805535842, 'epoch': 0.05}
{'loss': 1.5099, 'grad_norm': 0.5829095244407654, 'learning_rate': 0.00019772888573456354, 'epoch': 0.05}
{'loss': 1.4576, 'grad_norm': 0.61451655626297, 'learning_rate': 0.00019765791341376865, 'epoch': 0.05}
{'loss': 1.4095, 'grad_norm': 0.5359353423118591, 'learning_rate': 0.00019758694109297376, 'epoch': 0.05}
{'loss': 1.3962, 'grad_norm': 0.5368149876594543, 'learning_rate': 0.00019751596877217887, 'epoch': 0.05}
{'loss': 1.3462, 'grad_norm': 0.5719636678695679, 'learning_rate': 0.00019744499645138396, 'epoch': 0.05}
{'loss': 1.3416, 'grad_norm': 0.5419232845306396, 'learning_rate': 0.00019737402413058907, 'epoch': 0.06}
{'loss': 1.4029, 'grad_norm': 0.530976414680481, 'learning_rate': 0.00019730305180979418, 'epoch': 0.06}
{'loss': 1.3693, 'grad_norm': 0.5526696443557739, 'learning_rate': 0.0001972320794889993, 'epoch': 0.06}
{'loss': 1.3882, 'grad_norm': 0.5667834281921387, 'learning_rate': 0.0001971611071682044, 'epoch': 0.06}
{'loss': 1.4203, 'grad_norm': 0.5483084917068481, 'learning_rate': 0.00019709013484740952, 'epoch': 0.06}
{'loss': 1.366, 'grad_norm': 0.5592283606529236, 'learning_rate': 0.00019701916252661464, 'epoch': 0.06}
{'loss': 1.3449, 'grad_norm': 0.5499030351638794, 'learning_rate': 0.00019694819020581975, 'epoch': 0.06}
{'loss': 1.3919, 'grad_norm': 0.6002295613288879, 'learning_rate': 0.00019687721788502483, 'epoch': 0.07}
{'loss': 1.317, 'grad_norm': 0.5805856585502625, 'learning_rate': 0.00019680624556422995, 'epoch': 0.07}
{'loss': 1.4043, 'grad_norm': 0.5594860911369324, 'learning_rate': 0.00019673527324343506, 'epoch': 0.07}
{'loss': 1.411, 'grad_norm': 0.5409876108169556, 'learning_rate': 0.0001966643009226402, 'epoch': 0.07}
{'loss': 1.4308, 'grad_norm': 0.5239064693450928, 'learning_rate': 0.00019659332860184528, 'epoch': 0.07}
{'loss': 1.3265, 'grad_norm': 0.5057370662689209, 'learning_rate': 0.0001965223562810504, 'epoch': 0.07}
{'loss': 1.3382, 'grad_norm': 0.5035980939865112, 'learning_rate': 0.0001964513839602555, 'epoch': 0.07}
{'loss': 1.3436, 'grad_norm': 0.5412520170211792, 'learning_rate': 0.00019638041163946062, 'epoch': 0.08}
{'loss': 1.4424, 'grad_norm': 0.5295203328132629, 'learning_rate': 0.0001963094393186657, 'epoch': 0.08}
{'loss': 1.3575, 'grad_norm': 0.5216801166534424, 'learning_rate': 0.00019623846699787082, 'epoch': 0.08}
{'loss': 1.2319, 'grad_norm': 0.5418757200241089, 'learning_rate': 0.00019616749467707596, 'epoch': 0.08}
